,회사명,모집내용,학력,연봉,주소,근무형태,경력,지원시작일,지원마감일,위도,경도
67,삼우플랜트(주),송전철탑 3D설계 신입 / 경력자 채용  [ 정규...,대졸(2~3년),3000만원 ~ 3500만원,충청북도 음성군 원남면 원남산단로 194,주5일근무,신입,2022-05-31,2022-07-26,36.8871446789728, 127.677716906557
68,(주)솔루텍시스템,서버운영관리자 구인,대졸(2~3년),2300만원,서울특별시 영등포구 영신로 220,주5일근무,경력,2022-05-30,2022-07-27,37.5268034272278, 126.904261652136
69,주식회사 오디너리크파트너스,해외 온라인 마켓 운영관리 채용(AMD/MD),대졸(2~3년),2600만원,서울특별시 강남구 테헤란로 415,주5일근무,관계없음,2022-05-30,2022-07-29,37.5057885877997, 127.051541631852
70,솔브케이주식회사,GIS DB구축 인재채용(경력직),대졸(2~3년),2700만원,대전광역시 서구 둔산중로 50,주5일근무,경력,2022-05-30,2022-07-29,36.3510097544824, 127.387264332098
71,(주)씨큐하이,금융기관 CRM / Data Mart 시스템 운영...,대졸(2~3년),3000만원 ~ 5000만원,서울특별시 금천구 디지털로9길 32,주5일근무,경력,2022-05-30,2022-07-29,37.4795130993704, 126.887511773421
72,(주)케이스랩,(주)케이스랩 하반기 자율주행 SW 엔지니어 신입...,대졸(4년),200만원 ~ 300만원,광주광역시 북구 첨단과기로208번길 6,주5일근무,신입,2022-05-30,2022-07-26,35.225648776854, 126.847363855789
73,바이트댄스,[TikTok / 틱톡] Content quali...,대졸(4년),3600만원 ~ 5000만원,서울특별시 강남구 테헤란로 518,주5일근무,관계없음,2022-05-26,2022-07-25,37.5075910839105, 127.060579419429
74,바이트댄스,[TikTok / 틱톡] Quality Analy...,대졸(4년),3600만원 ~ 5000만원,서울특별시 강남구 테헤란로 518,주5일근무,관계없음,2022-05-26,2022-07-25,37.5075910839105, 127.060579419429
75,(주)아이티투게더,JAVA프로그래밍전문가/웹프로그램/응용프로그램 개...,학력무관,2900만원,대전광역시 유성구 온천로 59,주5일근무,관계없음,2022-05-26,2022-07-25,36.355601798345, 127.344588575888
76,(주)한솥,(주)한솥 디지털 기획 운영팀 IT담당 경력사원 ...,학력무관,3500만원 ~ 4000만원,서울특별시 강남구 강남대로 318,주5일근무,관계없음,2022-05-25,2022-07-24,37.4915693683974, 127.03118027892
77,나이스지니데이타,[NICE 지니데이타] 빅데이터분석 컨설팅 신입직...,대졸(2~3년),3500만원 ~ 3800만원,서울특별시 영등포구 은행로 30,주5일근무,신입,2022-05-25,2022-07-22,37.5281995830714, 126.922656059858
78,나이스지니데이타,[NICE 지니데이타] 빅데이터분석 컨설팅 경력직...,대졸(4년),3800만원 ~ 4200만원,서울특별시 영등포구 은행로 30,주5일근무,경력,2022-05-25,2022-07-22,37.5281995830714, 126.922656059858
79,(주)에스이랜드,B2B 도매사이트 인터넷쇼핑몰 제작 기획자 프로그...,학력무관,200만원,서울특별시 은평구 진흥로1길 48,주5일근무,관계없음,2022-05-23,2022-07-22,37.6046480630022, 126.918478538111
80,(주)지오비전,데이터 분석 및 빅데이터 기반 딥러닝 경력/석사 ...,대졸(4년),3500만원,강원도 춘천시 강원대학길 1,주5일근무,경력,2022-05-23,2022-07-18,37.8680243076332, 127.748387408095
81,브래키츠,정보시스템 운영자,학력무관,2800만원 ~ 6000만원,서울특별시 영등포구 국제금융로 20,주5일근무,경력,2022-05-23,2022-07-20,37.5248882861767, 126.927297465564
82,브래키츠,데이터 분석 및 시각화,학력무관,2800만원 ~ 4500만원,서울특별시 영등포구 국제금융로 20,주5일근무,경력,2022-05-23,2022-07-20,37.5248882861767, 126.927297465564
83,주식회사이프커뮤니티,웹프로그래머 신입 및 경력직 채용,대졸(4년),3000만원,서울특별시 성동구 아차산로17길 49,주5일근무,관계없음,2022-05-20,2022-07-11,37.5467683738173, 127.065279307819
84,에코랜드(주),코딩(스마트관련시설),학력무관,300만원 ~ 300만원,경기도 평택시 청북면 오금길 30,주5일근무,경력,2022-05-20,2022-07-19,37.0337732160833, 126.9337619636
85,주식회사넷브리지,"[주식회사넷브리지] 전산시스템, 신입,경력  IT...",학력무관,2500만원 ~ 4000만원,서울특별시 서초구 신반포로45길 80,주5일근무,관계없음,2022-05-18,2022-07-16,37.513211637695, 127.016269112492
86,(주)제이엔이웍스,백엔드 개발 연구원 모집 합니다.,대졸(2~3년),2800만원 ~ 3000만원,경상남도 창원시 마산회원구 봉암북7길 21,주5일근무,관계없음,2022-05-18,2022-07-15,35.2246964071696, 128.598326962526
87,(주)엘에스엠케이,백엔드 개발자 채용,학력무관,200만원,서울특별시 송파구 법원로 128,주5일근무,관계없음,2022-05-17,2022-07-16,37.4868456339581, 127.120489970866
88,제이엔이시스텍(주),백엔드 개발 연구원 모집 합니다.,대졸(2~3년),2800만원 ~ 3000만원,서울특별시 서초구 서초대로34길 31,주5일근무,관계없음,2022-05-17,2022-07-16,37.4885424875185, 126.998835467901
89,신영정밀(주),판금 프로그램 전개/2D/3D/Auto CAD 경...,학력무관,3500만원 ~ 4000만원,충청북도 청주시 흥덕구 강내면 다락태성길 96,주5일근무,신입,2022-05-16,2022-07-08,36.5887355813467, 127.361723245729
90,(주)디씨엔,반도체장비 전기·전자·제어(PLC외) 직원 모집(...,학력무관,220만원,대전광역시 유성구 테크노2로 13-19,주5일근무,관계없음,2022-05-12,2022-07-11,36.4353300660977, 127.391224287355
91,(주)랭킹피쉬,앱 서비스 운영,학력무관,2400만원 ~ 2600만원,서울특별시 성동구 성수일로8길 59,주5일근무,관계없음,2022-05-10,2022-07-09,37.5451797442107, 127.056896775555
92,(주)디에스케이,"3D 설계(기계:솔리드,인벤터) 모집의 건",학력무관,3000만원,경기도 시흥시 마유로42번길 71,주5일근무,경력,2022-05-09,2022-07-08,37.321291530562, 126.721822242961
93,유한회사한별,기록물 정보화 전담인력 채용(영암군 청년 디지털 ...,학력무관,200만원 ~ 200만원,전라남도 영암군 삼호읍 나불로 133,주5일근무,관계없음,2022-05-09,2022-07-08,34.7683042665942, 126.446614840995
94,주식회사엠테스,임베디드 프로그래머 모집,대졸(4년),3000만원 ~ 4000만원,경상남도 창원시 의창구 창원대로18번길 46,주5일근무,관계없음,2022-05-09,2022-07-08,35.2522868381163, 128.603509701758
95,사회정보연구원,(연신내 / 사회정보연구원) 연구·일반 기획 정규...,대졸(4년),200만원 ~ 210만원,서울특별시 은평구 연서로26길 8,주5일근무,관계없음,2022-05-09,2022-07-08,37.6169336818402, 126.92033119179
96,주식회사인포젠,"ERP, 경영정보시스템 개발자를 모십니다.(경력)",대졸(2~3년),192만원,경상북도 예천군 호명면 행복로 35,주5일근무,경력,2022-05-09,2022-07-08,36.5797697208811, 128.467275965575
97,주식회사 에이오디컨설팅,데이터 컨설팅 신입 및 경력 직원을 채용합니다.,대졸(4년),3000만원 ~ 5000만원,서울특별시 강서구 마곡중앙로 161-8,주5일근무,관계없음,2022-07-06,2022-08-31,37.568851450649, 126.827338682565
98,(주)웨슬리퀘스트,2022 (주)웨슬리퀘스트 데이터 분석 경력직 및...,대졸(4년),200만원 ~ 300만원,서울특별시 서대문구 충정로 53,주5일근무,관계없음,2022-07-05,2022-07-22,37.5637512316327, 126.964632683146
99,(주)초원지역전략연구소,농어촌 지역개발 컨설팅/ 관광 전략기획 연구원 채...,대졸(4년),200만원,경기도 안양시 동안구 벌말로 126,주5일근무,관계없음,2022-07-05,2022-07-20,37.3996441086743, 126.970274096871
100,(주)파오스파트너스,"(주)파오스파트너스 공채 채용-DB 분석, DB ...",대졸(2~3년),2600만원 ~ 5000만원,서울특별시 용산구 한남대로21길 17,주5일근무,경력,2022-07-04,2022-07-19,37.5341520566604, 127.006517610304
101,이브이패스,[데이터분석] Data 분석 기획 및 (AI)인공...,대졸(4년),2900만원,제주특별자치도 제주시 첨단로 213-3,주5일근무,관계없음,2022-07-01,2022-07-31,33.4537493860569, 126.572342488555
102,(주)랩큐,"(신입,경력)빅데이터, 인공지능 및 웹/앱 개발자",대졸(4년),200만원 ~ 600만원,서울특별시 영등포구 양평로21길 26,주5일근무,관계없음,2022-07-01,2022-08-31,37.5362922285546, 126.891841433535
103,(주)대원에스이,[수입차부품] 영업관리,학력무관,230만원,경상남도 양산시 하북면 용연로 2,주5일근무,관계없음,2022-06-29,2022-08-28,35.4393526367586, 129.072534607711
104,(주) 애크미랩,애크미랩에서 활발한 데이터 엔지니어&분석가를 찾습...,대졸(2~3년),3000만원,서울특별시 강남구 테헤란로 419,주5일근무,관계없음,2022-06-28,2022-07-12,37.5058701186479, 127.052180354928
105,영천제일직업전문학교,빅데이터 강사 구합니다.,학력무관,30000원 ~ 40000원,경상북도 영천시 완산로 73,주5일근무,관계없음,2022-06-27,2022-08-26,35.9668005357728, 128.93830396562
106,(주)키밸류데이타,"R&D 기획, 평가 관련 사회과학연구원 모집",대졸(4년),200만원,대전광역시 유성구 유성대로 875,주5일근무,관계없음,2022-06-27,2022-07-29,36.3697424418574, 127.339567095425
