,직종코드,Unnamed: 1,Unnamed: 2,Unnamed: 3
931,085, ,"기타 건설 기능(광원,채석,철로설치 등)", 
932,705100, , ,"광원, 채석원 및 석재 절단원"
933,705101, , ,광원 및 채석원
934,705102, , ,"석재 가공원(석재 절단, 연마, 조각원 등)"
935,705200, , ,철로 설치·보수원
936,705900, , ,기타 채굴·토목 종사원
937,705901, , ,점화·발파·화약관리원 및 삭구원
938,705902, , ,"잠수 기능원(잠수부, 구난 잠수요원)"
939,086, ,건설·채굴 단순 종사자, 
940,706000, , ,건설·채굴 단순 종사원
941,706001, , ,조경시설물 설치원
942,706002, , ,건설·채굴 단순 종사원
943,09,설치·정비·생산-기계·금속·재료, , 
944,091, ,기계장비 설치·정비, 
945,811100, , ,공업기계 설치·정비원
946,811101, , ,공작기계 설치·정비원
947,811102, , ,화학기계 설치·정비원
948,811103, , ,섬유기계 설치·정비원
949,811104, , ,전자제품 제조기계 설치·정비원
950,811105, , ,식품기계 설치·정비원
951,811106, , ,기타 공업기계 설치·정비원
952,811200, , ,승강기 설치·정비원
953,811201, , ,엘리베이터 설치·정비원
954,811202, , ,에스컬레이터 설치·정비원(무빙워크 포함)
955,811203, , ,"기타 승강기 설치·정비원(휠체어리프트, 자동문 포함)"
956,811300, , ,물품이동장비 설치·정비원
957,811301, , ,크레인·호이스트 설치·정비원
958,811302, , ,지게차 정비원
959,811400, , ,냉동·냉장·공조기 설치·정비원
960,811401, , ,산업용 냉동·냉장·공조기 설치·정비원
961,811402, , ,건물·가정용 냉동·냉장·공조기 설치·정비원
962,811500, , ,보일러 설치·정비원
963,811501, , ,산업용 보일러 설치·수리원
964,811502, , ,건물·가정용 보일러 설치·수리원
965,811600, , ,건설·광업용 기계 설치·정비원
966,811900, , ,농업용 및 기타 기계장비 설치 및 정비원
967,092, ,운송장비 정비, 
968,812100, , ,항공기 정비원
969,812200, , ,선박 정비원
970,812300, , ,철도기관차·전동차 정비원
971,812400, , ,자동차 정비원
972,812401, , ,자동차 엔진·섀시·전기·전자 정비원
973,812402, , ,자동차 차체·판금·도장 정비원
974,812403, , ,자동차 경정비원
975,812404, , ,자동차 튜닝원
976,812900, , ,오토바이·자전거 및 기타 운송장비 정비원
977,093, ,금형 및 공작기계 조작, 
978,813100, , ,금형원
979,813101, , ,프레스 금형 제조원
980,813102, , ,플라스틱 금형 제조원
981,813103, , ,다이캐스팅 금형 제조원
982,813104, , ,캐드캠 기능원
983,813105, , ,금형제조 보조원
984,813200, , ,금속 공작기계 조작원
985,813201, , ,CNC 선반 조작원(NC 선반 조작원)
986,813202, , ,범용 선반 조작원
987,813203, , ,CNC 밀링기 조작원(NC 밀링기 조작원)
988,813204, , ,범용 밀링기조작원
989,813205, , ,드릴링기 및 보링기 조작원
990,813206, , ,연삭기 및 연마(광택)기 조작원
991,813207, , ,프레스기 및 절단기 조작원
992,813208, , ,톱기계 조작원
993,813209, , ,금속절곡기 조작원(밴딩기 조작원)
994,813210, , ,머시닝센터(MCT) 조작원
995,813211, , ,방전기 및 와이어컷 방전기 조작원
996,813212, , ,레이저 절단원
997,813213, , ,기타 금속공작기계 조작원 및 보조원
998,821200, , ,금속가공 기계 조작원
999,094, ,냉난방 설비·자동 조립라인·산업용 로봇 조작, 
1000,814000, , ,냉·난방 설비 조작원
1001,814001, , ,산업용 냉난방 설비 조작원
1002,814002, , ,건물용 냉난방 설비 조작원
1003,815000, , ,자동조립라인·산업용로봇 조작원
1004,815001, , ,자동조립라인 조작원
1005,815002, , ,산업용 로봇 조작원
1006,834000, , ,전기·전자 설비 조작원
1007,095, ,기계 및 운송장비 조립, 
1008,816100, , ,일반기계 조립원
1009,816101, , ,공작기계 조립·검사원
1010,816102, , ,공업기계 조립·검사원(공작기계 제외)
1011,816103, , ,건설·광업·농업 기계 조립·검사원
1012,816104, , ,공구 조립·검사원
1013,816105, , ,기타 기계 조립·검사원
1014,816200, , ,금속기계부품 조립원
1015,817100, , ,자동차 조립·검사원
1016,817200, , ,자동차 부품 조립·검사원
1017,817300, , ,항공기·선박·철도기관차·전동차 등 운송장비 조립·검사원
1018,096, ,금속관련 기계·설비 조작, 
1019,813200, , ,금속 공작기계 조작원
1020,821100, , ,금속가공 제어장치 조작원(용광로·용해로·금속가열로)
1021,821200, , ,금속가공 기계 조작원
1022,821201, , ,압연기 조작원
1023,821202, , ,금속 열처리로 조작원
1024,821203, , ,인발·신선·연선·압출기 조작원
1025,821204, , ,금속가공 검사원
1026,097, ,판금·제관·단조·주조, 
1027,703101, , ,"건축 배관공(옥내급수관,상하수배관,위생 배관)"
1028,703102, , ,가스 배관공(가스관 설치원)
1029,703200, , ,"공업 배관공(플랜트,항공,선박,철도차량)"
1030,703902, , ,배관 보조원
1031,822100, , ,판금원(덕트원 포함)
1032,822201, , ,판금기 조작원
1033,822202, , ,판금기 보조원(견습공)
1034,822301, , ,제관원
1035,822302, , ,제관 보조원(견습공)
1036,822400, , ,제관기 조작원
1037,823101, , ,단조원
1038,823102, , ,단조 보조원(견습공)
1039,823200, , ,단조기조작원
1040,823300, , ,주조원
1041,823301, , ,"주조원(목형원, 원형원, 주형원)"
1042,823302, , ,주조 보조원(견습공)
1043,098, ,용접, 
1044,703101, , ,"건축 배관공(옥내급수관,상하수배관,위생 배관)"
1045,703102, , ,가스 배관공(가스관 설치원)
1046,703200, , ,"공업 배관공(플랜트,항공,선박,철도차량)"
1047,703902, , ,배관 보조원
1048,823400, , ,주조기 조작원(다이캐스팅기 조작원 포함)
1049,824100, , ,용접원
1050,824101, , ,가스용접원(산소용접원)
1051,824102, , ,"전기용접원(아크,알곤,티그용접원)"
1052,824103, , ,화염절단원
1053,824104, , ,조선용접원(조선취부사 포함)
1054,824105, , ,납땜원
1055,824106, , ,기타 용접원
1056,824107, , ,용접 사상원 및 보조원
1057,824200, , ,자동용접기 및 용접로봇 조작원
1058,099, ,도장·도금, 
1059,825100, , ,도장원(도장기조작원)
1060,825101, , ,자동차 도장기 조작원
1061,825102, , ,금속제품 도장기 조작원
1062,825103, , ,가구 및 기타 도장기 조작원
1063,825200, , ,도금·금속분무기 조작원
1064,09A, ,비금속제품 생산기계 조작, 
1065,826100, , ,유리·유리제품 생산기계 조작원
1066,826101, , ,유리 생산기계 조작원
1067,826102, , ,유리제품 생산기계 조작원
1068,826103, , ,렌즈 가공기계 조작원
1069,826200, , ,점토제품 생산기계 조작원
1070,826201, , ,도자기 생산기계 조작원
1071,826202, , ,벽돌·타일 생산기계 조작원
1072,826300, , ,시멘트·광물제품 생산기계 조작원
1073,826400, , ,광석·석제품 생산기계 조작원
1074,826900, , ,기타 비금속제품 생산기계 조작원
1075,10,설치·정비·생산-전기·전자·정보통신, , 
1076,101, ,전기공(전기공사), 
1077,831100, , ,산업 전기공(항공기·선박·철도기관차·전동차 전기공)
1078,831200, , ,내선 전기공
1079,831201, , ,내선 전기공(건물 내 전기공사원)
1080,831202, , ,조명기구 등 전기기기 설치·정비원
1081,831203, , ,발전기 설치·정비원
1082,831204, , ,전기·전자 제어장치 설치·정비원
1083,831300, , ,외선 전기공
1084,102, ,"전기·전자 기기 설치·수리(사무용,가전제품,기타)", 
1085,832100, , ,사무용 전자기기 설치·수리원(컴퓨터 제외)
1086,832200, , ,가전제품 설치·수리원
1087,832201, , ,TV·비디오·오디오 설치 및 수리원
1088,832202, , ,냉장고·세탁기 설치 및 수리원
1089,832203, , ,에어컨·공기정화기 설치 및 수리원
1090,832204, , ,정수기·냉온수기·비데 설치 및 수리원
1091,832205, , ,그 외 가전제품 설치 및 수리원
1092,832900, , ,기타 전기·전자 기기 설치·수리원
1093,832901, , ,감시카메라 및 보안장치 설치·수리원
1094,832902, , ,현금인출기 설치·수리원
1095,832903, , ,포스시스템 설치·수리원(POS 설치 및 수리원)
1096,832904, , ,의료기기·장비 설치·수리원
1097,832905, , ,시계·카메라·광학기구 수리원
1098,832906, , ,영상·음향기기 등 기타 전기·전자 기기 설치·수리원
1099,841100, , ,컴퓨터 설치·수리원(컴퓨터A/S원)
1100,841200, , ,핸드폰(휴대폰) 수리원
1101,841900, , ,기타 정보통신기기 설치·수리원
1102,103, ,"발전·배전 장비, 전기·전자 설비 조작(전기관리)", 
1103,814001, , ,산업용 냉난방 설비 조작원
1104,814002, , ,건물용 냉난방 설비 조작원
